County Name,FRED ID
"Keokuk County, IA",28188
"Kossuth County, IA",28189
"Lee County, IA",28190
"Linn County, IA",28191
"Louisa County, IA",28192
"Lucas County, IA",28193
"Lyon County, IA",28194
"Madison County, IA",28195
"Mahaska County, IA",28196
"Marion County, IA",28197
"Marshall County, IA",28198
"Mills County, IA",28199
"Mitchell County, IA",28200
"Monona County, IA",28201
"Monroe County, IA",28202
"Montgomery County, IA",28203
"Muscatine County, IA",28204
"O'Brien County, IA",28205
"Osceola County, IA",28206
"Page County, IA",28207
"Palo Alto County, IA",28208
"Plymouth County, IA",28209
"Pocahontas County, IA",28210
"Polk County, IA",28211
"Pottawattamie County, IA",28212
"Poweshiek County, IA",28213
"Ringgold County, IA",28214
"Sac County, IA",28215
"Scott County, IA",28216
"Shelby County, IA",28217
"Sioux County, IA",28218
"Story County, IA",28219
"Tama County, IA",28220
"Taylor County, IA",28221
"Union County, IA",28222
"Van Buren County, IA",28223
"Wapello County, IA",28224
"Warren County, IA",28225
"Washington County, IA",28226
"Wayne County, IA",28227
"Webster County, IA",28228
"Winnebago County, IA",28229
"Winneshiek County, IA",28230
"Woodbury County, IA",28231
"Worth County, IA",28232
"Wright County, IA",28233
"Allen County, KS",28235
"Anderson County, KS",28236
"Atchison County, KS",28237
"Barber County, KS",28238
"Barton County, KS",28239
"Bourbon County, KS",28240
"Brown County, KS",28241
"Butler County, KS",28242
"Chase County, KS",28243
"Chautauqua County, KS",28244
"Cherokee County, KS",28245
"Cheyenne County, KS",28246
"Clark County, KS",28247
"Clay County, KS",28248
"Cloud County, KS",28249
"Coffey County, KS",28250
"Comanche County, KS",28251
"Cowley County, KS",28252
"Crawford County, KS",28253
"Decatur County, KS",28254
"Dickinson County, KS",28255
"Doniphan County, KS",28256
"Douglas County, KS",28257
"Edwards County, KS",28258
"Elk County, KS",28259
"Ellis County, KS",28260
"Ellsworth County, KS",28261
"Finney County, KS",28262
"Ford County, KS",28263
"Franklin County, KS",28264
"Geary County, KS",28265
"Gove County, KS",28266
"Graham County, KS",28267
"Grant County, KS",28268
"Gray County, KS",28269
"Greeley County, KS",28270
"Greenwood County, KS",28271
"Hamilton County, KS",28272
"Harper County, KS",28273
"Harvey County, KS",28274
"Haskell County, KS",28275
"Hodgeman County, KS",28276
"Jackson County, KS",28277
"Jefferson County, KS",28278
"Jewell County, KS",28279
"Johnson County, KS",28280
"Kearny County, KS",28281
"Kingman County, KS",28282
"Kiowa County, KS",28283
"Labette County, KS",28284
"Lane County, KS",28285
"Leavenworth County, KS",28286
"Lincoln County, KS",28287
"Linn County, KS",28288
"Logan County, KS",28289
"Lyon County, KS",28290
"Marion County, KS",28291
"Marshall County, KS",28292
"McPherson County, KS",28293
"Meade County, KS",28294
"Miami County, KS",28295
"Mitchell County, KS",28296
"Montgomery County, KS",28297
"Morris County, KS",28298
"Morton County, KS",28299
"Nemaha County, KS",28300
"Neosho County, KS",28301
"Ness County, KS",28302
